Subzone,Population
Ang Mo Kio Town Centre,2260
Cheng San,13480
Chong Boon,12860
Kebun Bahru,10660
Sembawang Hills,3210
Shangri0La,7780
Tagore,3790
Townsville,9930
Yio Chu Kang,-
Yio Chu Kang East,2090
Yio Chu Kang North,-
Yio Chu Kang West,11520
Total,134210
Bayshore,3580
Bedok North,39700
Bedok Reservoir,12480
Bedok South,22540
Frankel,16260
Kaki Bukit,18210
Kembangan,18460
Siglap,2980
Total,42260
Bishan East,13420
Marymount,14680
Upper Thomson,14160
Total,-
Liu Fang,-
Samulun,-
Shipyard,-
Tukang,-
Total,77480
Brickworks,9800
Bukit Batok Central,13290
Bukit Batok East,6290
Bukit Batok South,7360
Bukit Batok West,7300
Gombak,4840
Guilin,6290
Hillview,9290
Hong Kah North,13030
Total,72730
Alexandra Hill,6630
Alexandra North,1230
Bukit Ho Swee,7050
Bukit Merah,550
City Terminals,-
Depot Road,3090
Everton Park,3680
Henderson Hill,6490
Kampong Tiong Bahru,4440
Maritime Square,1770
Redhill,5150
Singapore General Hospital,-
Telok Blangah Drive,9170
Telok Blangah Rise,5740
Telok Blangah Way,4610
Tiong Bahru,5990
Tiong Bahru Station,7140
Total,68150
Bangkit,11010
Dairy Farm,3350
Fajar,13870
Jelebu,15370
Nature Reserve,1810
Saujana,12830
Senja,9920
Total,35980
Anak Bukit,10370
Coronation Road,3050
Farrer Court,2900
Hillcrest,4170
Holland Road,4800
Leedon Park,2960
Swiss Club,2470
Ulu Pandan,5280
Total,-
Central Water Catchment,-
Total,960
Changi Airport,-
Changi Point,300
Changi West,660
Total,-
Changi Bay,-
Total,95690
Choa Chu Kang Central,11180
Choa Chu Kang North,15860
Keat Hong,19010
Peng Siang,17340
Teck Whye,12190
Yew Tee,20100
Total,43630
Clementi Central,6600
Clementi North,13400
Clementi West,7310
Clementi Woods,7660
Faber,2620
Pandan,-
Sunset Way,2640
Toh Tuck,-
West Coast,3370
Total,1590
Anson,-
Bayfront Subzone,-
Bugis,440
Cecil,130
Central Subzone,410
City Hall,-
Clifford Pier,-
Marina Centre,-
Maxwell,-
Nicoll,150
Phillip,-
Raffles Place,-
Tanjong Pagar,350
Total,54260
Aljunied,19740
Geylang East,14540
Kallang Way,-
Kampong Ubi,5890
Macpherson,14070
Total,111490
Defu Industrial Park,-
Hougang Central,2350
Hougang East,12110
Hougang West,22410
Kangkar,15740
Kovan,11960
Lorong Ah Soo,15270
Lorong Halus,-
Tai Seng,6670
Trafalgar,24950
Total,38930
International Business Park,-
Jurong Gateway,210
Jurong Port,-
Jurong River,-
Lakeside (Business),-
Lakeside (Leisure),570
Penjuru Crescent,-
Teban Gardens,9250
Toh Guan,7230
Yuhua East,12120
Yuhua West,9530
Total,131900
Boon Lay Place,15060
Chin Bee,-
Hong Kah,26650
Jurong West Central,31810
Kian Teck,-
Safti,-
Taman Jurong,19920
Wenya,4170
Yunnan,34250
Total,50040
Bendemeer,18240
Boon Keng,5630
Crawford,4630
Geylang Bahru,5620
Kallang Bahru,-
Kampong Bugis,460
Kampong Java,5140
Lavender,5070
Tanjong Rhu,5230
Total,60
Lim Chu Kang,60
Total,990
Mandai East,-
Mandai Estate,990
Mandai West,-
Total,-
Marina East,-
Total,-
Marina South,-
Total,21700
East Coast,-
Katong,4440
Marina East (Mp),-
Marine Parade,12530
Mountbatten,4720
Total,260
Bras Basah,-
Dhoby Ghaut,160
Fort Canning,90
Total,3950
Cairnhill,1830
Goodwood Park,600
Istana Negara,-
Monk's Hill,520
Newton Circus,140
Orange Grove,840
Total,-
North0Eastern Islands,-
Total,23930
Balestier,15670
Dunearn,1800
Malcolm,1380
Moulmein,4720
Mount Pleasant,350
Total,430
Boulevard,210
Somerset,60
Tanglin,170
Total,9210
China Square,670
Chinatown,5040
Pearl's Hill,3370
People's Park,140
Total,72540
Flora Drive,7200
Loyang East,1060
Loyang West,100
Pasir Ris Central,15750
Pasir Ris Drive,26940
Pasir Ris Park,3760
Pasir Ris Wafer Fab Park,-
Pasir Ris West,17720
Total,-
Airport Road,-
Paya Lebar East,-
Paya Lebar North,-
Paya Lebar West,-
Plab,-
Total,-
Benoi Sector,-
Gul Basin,-
Gul Circle,-
Joo Koon,-
Pioneer Sector,-
Total,85940
Coney Island,-
Matilda,25610
Northshore,230
Punggol Canal,-
Punggol Field,24120
Punggol Town Centre,10920
Waterway East,25050
Total,45120
Commonwealth,3230
Dover,5260
Ghim Moh,6470
Holland Drive,5760
Kent Ridge,-
Margaret Drive,7710
Mei Chin,7350
National University Of S'pore,70
One North,350
Pasir Panjang 1,2200
Pasir Panjang 2,1490
Port,60
Queensway,130
Singapore Polytechnic,-
Tanglin Halt,4960
Total,4620
Institution Hill,1500
Leonie Hill,1430
One Tree Hill,910
Oxley,670
Paterson,110
Total,6530
Bencoolen,620
Farrer Park,1350
Kampong Glam,80
Little India,1680
Mackenzie,60
Mount Emily,770
Rochor Canal,-
Selegie,110
Sungei Road,1020
Victoria,840
Total,140
Pulau Punggol Barat,-
Pulau Punggol Timor,-
Seletar,130
Seletar Aerospace Park,-
Total,50710
Admiralty,6860
Sembawang Central,17060
Sembawang East,8550
Sembawang North,12750
Sembawang Springs,4480
Sembawang Straits,980
Senoko North,-
Senoko South,-
The Wharves,-
Total,122480
Anchorvale,23700
Compassvale,10170
Fernvale,28860
Lorong Halus North,-
Rivervale,29460
Sengkang Town Centre,30290
Sengkang West,-
Total,56370
Lorong Chuan,4090
Seletar Hills,7250
Serangoon Central,11800
Serangoon Garden,17220
Serangoon North,7840
Serangoon North Ind Estate,-
Upper Paya Lebar,8160
Total,-
Pulau Seletar,-
Simpang North,-
Simpang South,-
Tanjong Irau,-
Total,1540
Boat Quay,70
Clarke Quay,70
Robertson Quay,1390
Total,920
Sentosa,920
Southern Group,-
Total,-
Straits View,-
Total,380
Gali Batu,-
Kranji,-
Pang Sua,-
Reservoir View,-
Turf Club,330
Total,127000
Simei,19050
Tampines East,63960
Tampines North,3950
Tampines West,39150
Xilin,890
Total,10100
Chatsworth,3190
Nassim,4410
Ridout,690
Tyersall,1810
Total,-
Brickland,-
Forest Hill,-
Garden,-
Park,-
Plantation,-
Tengah Industrial Estate,-
Total,57890
Bidadari,-
Boon Teck,7210
Braddell,4590
Joo Seng,4030
Kim Keat,3840
Lorong 8 Toa Payoh,3420
Pei Chun,4940
Potong Pasir,5660
Sennett,3480
Toa Payoh Central,12960
Toa Payoh West,6570
Woodleigh,1200
Total,-
Tengeh,-
Tuas Bay,-
Tuas North,-
Tuas Promenade,-
Tuas View,-
Tuas View Extension,-
Total,-
Jurong Island And Bukom,-
Semakau,-
Sudong,-
Total,290
Bahar,-
Cleantech,-
Murai,290
Total,127990
Greenwood Park,-
Midview,17660
North Coast,6130
Senoko West,-
Woodgrove,16870
Woodlands East,49490
Woodlands Regional Centre,-
Woodlands South,20540
Woodlands West,17260
Total,109470
Khatib,4980
Lower Seletar,9240
Nee Soon,440
Northland,13930
Springleaf,2180
Yishun Central,1290
Yishun East,30030
Yishun South,20670
Yishun West,26720
