Subzone,Planning Area,Population
Admiralty,Sembawang,13600
Airport Road,Paya Lebar,0
Alexandra Hill,Bukit Merah,13220
Alexandra North,Bukit Merah,2930
Aljunied,Geylang,43190
Anak Bukit,Bukit Timah,22640
Anchorvale,Sengkang,51120
Ang Mo Kio Town Centre,Ang Mo Kio,4960
Anson,Downtown Core,80
Bahar,Western Water Catchment,0
Balestier,Novena,33040
Bangkit,Bukit Panjang,21510
Bayfront Subzone,Downtown Core,0
Bayshore,Bedok,7890
Bedok North,Bedok,82770
Bedok Reservoir,Bedok,25390
Bedok South,Bedok,48910
Bencoolen,Rochor,1290
Bendemeer,Kallang,37420
Benoi Sector,Pioneer,0
Bidadari,Toa Payoh,3760
Bishan East,Bishan,27780
Boat Quay,Singapore River,150
Boon Keng,Kallang,11230
Boon Lay Place,Jurong West,28590
Boon Teck,Toa Payoh,14680
Boulevard,Orchard,530
Braddell,Toa Payoh,9650
Bras Basah,Museum,10
Brickland,Tengah,0
Brickworks,Bukit Batok,30870
Bugis,Downtown Core,950
Bukit Batok Central,Bukit Batok,27670
Bukit Batok East,Bukit Batok,12280
Bukit Batok South,Bukit Batok,14730
Bukit Batok West,Bukit Batok,14570
Bukit Ho Swee,Bukit Merah,13740
Bukit Merah,Bukit Merah,1040
Cairnhill,Newton,4480
Cecil,Downtown Core,510
Central Subzone,Downtown Core,1330
Central Water Catchment,Central Water Catchment,0
Changi Airport,Changi,0
Changi Bay,Changi Bay,0
Changi Point,Changi,590
Changi West,Changi,1350
Chatsworth,Tanglin,7580
Cheng San,Ang Mo Kio,27280
Chin Bee,Jurong West,0
China Square,Outram,1340
Chinatown,Outram,10200
Choa Chu Kang Central,Choa Chu Kang,22390
Choa Chu Kang North,Choa Chu Kang,31360
Chong Boon,Ang Mo Kio,25680
City Hall,Downtown Core,130
City Terminals,Bukit Merah,20
Clarke Quay,Singapore River,120
Cleantech,Western Water Catchment,0
Clementi Central,Clementi,14780
Clementi North,Clementi,29400
Clementi West,Clementi,14530
Clementi Woods,Clementi,18270
Clifford Pier,Downtown Core,0
Commonwealth,Queenstown,6700
Compassvale,Sengkang,20810
Coney Island,Punggol,0
Coronation Road,Bukit Timah,7180
Crawford,Kallang,7930
Dairy Farm,Bukit Panjang,7130
Defu Industrial Park,Hougang,10
Depot Road,Bukit Merah,6500
Dhoby Ghaut,Museum,500
Dover,Queenstown,11280
Dunearn,Novena,4090
East Coast,Marine Parade,0
Everton Park,Bukit Merah,7650
Faber,Clementi,5490
Fajar,Bukit Panjang,26800
Farrer Court,Bukit Timah,6700
Farrer Park,Rochor,2570
Fernvale,Sengkang,65590
Flora Drive,Pasir Ris,15960
Forest Hill,Tengah,10
Fort Canning,Museum,210
Frankel,Bedok,35010
Gali Batu,Sungei Kadut,30
Garden,Tengah,0
Geylang Bahru,Kallang,10650
Geylang East,Geylang,31440
Ghim Moh,Queenstown,13430
Gombak,Bukit Batok,9900
Goodwood Park,Newton,1470
Greenwood Park,Woodlands,100
Guilin,Bukit Batok,12930
Gul Basin,Pioneer,0
Gul Circle,Pioneer,10
Henderson Hill,Bukit Merah,13000
Hillcrest,Bukit Timah,9900
Hillview,Bukit Batok,19960
Holland Drive,Queenstown,12210
Holland Road,Bukit Timah,11560
Hong Kah,Jurong West,53380
Hong Kah North,Bukit Batok,25660
Hougang Central,Hougang,4820
Hougang East,Hougang,24350
Hougang West,Hougang,44840
Institution Hill,River Valley,3750
International Business Park,Jurong East,10
Istana Negara,Newton,50
Jelebu,Bukit Panjang,30430
Joo Koon,Pioneer,20
Joo Seng,Toa Payoh,8100
Jurong Gateway,Jurong East,570
Jurong Island And Bukom,Western Islands,0
Jurong Port,Jurong East,0
Jurong River,Jurong East,10
Jurong West Central,Jurong West,62960
Kaki Bukit,Bedok,35880
Kallang Bahru,Kallang,20
Kallang Way,Geylang,40
Kampong Bugis,Kallang,1590
Kampong Glam,Rochor,120
Kampong Java,Kallang,10430
Kampong Tiong Bahru,Bukit Merah,8840
Kampong Ubi,Geylang,12960
Kangkar,Hougang,32950
Katong,Marine Parade,9450
Keat Hong,Choa Chu Kang,38990
Kebun Bahru,Ang Mo Kio,22250
Kembangan,Bedok,36340
Kent Ridge,Queenstown,80
Khatib,Yishun,9880
Kian Teck,Jurong West,50
Kim Keat,Toa Payoh,7590
Kovan,Hougang,25150
Kranji,Sungei Kadut,0
Lakeside (Business),Jurong East,0
Lakeside (Leisure),Jurong East,810
Lavender,Kallang,10160
Leedon Park,Bukit Timah,6710
Leonie Hill,River Valley,3720
Lim Chu Kang,Lim Chu Kang,60
Little India,Rochor,3100
Liu Fang,Boon Lay,10
Lorong 8 Toa Payoh,Toa Payoh,6900
Lorong Ah Soo,Hougang,32110
Lorong Chuan,Serangoon,8690
Lorong Halus,Hougang,0
Lorong Halus North,Sengkang,0
Lower Seletar,Yishun,19160
Loyang East,Pasir Ris,2120
Loyang West,Pasir Ris,370
Mackenzie,Rochor,140
Macpherson,Geylang,27120
Malcolm,Novena,3230
Mandai East,Mandai,0
Mandai Estate,Mandai,2080
Mandai West,Mandai,0
Margaret Drive,Queenstown,24060
Marina Centre,Downtown Core,20
Marina East,Marina East,0
Marina East (Mp),Marine Parade,0
Marina South,Marina South,0
Marine Parade,Marine Parade,26910
Maritime Square,Bukit Merah,4640
Marymount,Bishan,29260
Matilda,Punggol,53340
Maxwell,Downtown Core,0
Mei Chin,Queenstown,16590
Midview,Woodlands,34580
Monk's Hill,Newton,1200
Moulmein,Novena,10400
Mount Emily,Rochor,2030
Mount Pleasant,Novena,700
Mountbatten,Marine Parade,10260
Murai,Western Water Catchment,590
Nassim,Tanglin,10610
National University Of S'pore,Queenstown,240
Nature Reserve,Bukit Panjang,4000
Nee Soon,Yishun,910
Newton Circus,Newton,310
Nicoll,Downtown Core,320
North Coast,Woodlands,11590
North-Eastern Islands,North-Eastern Islands,40
Northland,Yishun,27280
Northshore,Punggol,14050
One North,Queenstown,950
One Tree Hill,River Valley,2340
Orange Grove,Newton,2030
Oxley,River Valley,1620
Pandan,Clementi,10
Pang Sua,Sungei Kadut,20
Park,Tengah,0
Pasir Panjang 1,Queenstown,4850
Pasir Panjang 2,Queenstown,3270
Pasir Ris Central,Pasir Ris,32300
Pasir Ris Drive,Pasir Ris,52650
Pasir Ris Park,Pasir Ris,7960
Pasir Ris Wafer Fab Park,Pasir Ris,10
Pasir Ris West,Pasir Ris,35580
Paterson,River Valley,310
Paya Lebar East,Paya Lebar,0
Paya Lebar North,Paya Lebar,30
Paya Lebar West,Paya Lebar,0
Pearl's Hill,Outram,5430
Pei Chun,Toa Payoh,10090
Peng Siang,Choa Chu Kang,34250
Penjuru Crescent,Jurong East,10
People's Park,Outram,270
Phillip,Downtown Core,10
Pioneer Sector,Pioneer,10
Plab,Paya Lebar,0
Plantation,Tengah,0
Port,Queenstown,120
Potong Pasir,Toa Payoh,12690
Pulau Punggol Barat,Seletar,0
Pulau Punggol Timor,Seletar,0
Pulau Seletar,Simpang,0
Punggol Canal,Punggol,0
Punggol Field,Punggol,49010
Punggol Town Centre,Punggol,24770
Queensway,Queenstown,280
Raffles Place,Downtown Core,40
Redhill,Bukit Merah,11090
Reservoir View,Sungei Kadut,10
Ridout,Tanglin,1560
Rivervale,Sengkang,59180
Robertson Quay,Singapore River,3770
