Subzone,PopMale,PopFemale
Mandai East,-,-
Mandai Estate,990,1100
Mandai West,-,-
Margaret Drive,7710,8380
Marina Centre,-,-
Marina East,-,-
Marina East (Mp),-,-
Marina South,-,-
Marine Parade,12530,14350
Maritime Square,1770,1850
Marymount,14680,14940
Matilda,25610,26590
Maxwell,-,-
Mei Chin,7350,8210
Midview,17660,17610
Monk's Hill,520,510
Moulmein,4720,4580
Mount Emily,770,860
Mount Pleasant,350,340
Mountbatten,4720,5260
Murai,290,350
Nassim,4410,5110
National University Of S'pore,70,170
Nature Reserve,1810,2040
Nee Soon,440,450
Newton Circus,140,110
Nicoll,150,140
North Coast,6130,5970
North0Eastern Islands,-,-
Northland,13930,14070
Northshore,230,220
One North,350,370
One Tree Hill,910,1150
Orange Grove,840,950
Oxley,670,820
Pandan,-,-
Pang Sua,-,-
Park,-,-
Pasir Panjang 1,2200,2300
Pasir Panjang 2,1490,1570
Pasir Ris Central,15750,16490
Pasir Ris Drive,26940,27480
Pasir Ris Park,3760,3860
Pasir Ris Wafer Fab Park,-,-
Pasir Ris West,17720,18070
Paterson,110,130
Paya Lebar East,-,-
Paya Lebar North,-,-
Paya Lebar West,-,-
Pearl's Hill,3370,2750
Pei Chun,4940,5420
Peng Siang,17340,17390
Penjuru Crescent,-,-
People's Park,140,160
Phillip,-,-
Pioneer Sector,-,-
Plab,-,-
Plantation,-,-
Port,60,60
Potong Pasir,5660,6060
Pulau Punggol Barat,-,-
Pulau Punggol Timor,-,-
Pulau Seletar,-,-
Punggol Canal,-,-
Punggol Field,24120,24840
Punggol Town Centre,10920,11340
Queensway,130,140
Raffles Place,-,-
Redhill,5150,5470
Reservoir View,-,-
Ridout,690,830
Rivervale,29460,30230
Robertson Quay,1390,1610
Rochor Canal,-,-
Safti,-,-
Samulun,-,-
Saujana,12830,13090
Selegie,110,100
Seletar,130,150
Seletar Aerospace Park,-,-
Seletar Hills,7250,7460
Semakau,-,-
Sembawang Central,17060,17740
Sembawang East,8550,8790
Sembawang Hills,3210,3650
Sembawang North,12750,12790
Sembawang Springs,4480,4610
Sembawang Straits,980,930
Sengkang Town Centre,30290,31500
Sengkang West,-,-
Senja,9920,10260
Sennett,3480,3720
Senoko North,-,-
Senoko South,-,-
Senoko West,-,-
Sentosa,920,1020
Serangoon Central,11800,12960
Serangoon Garden,17220,18860
Serangoon North,7840,8100
Serangoon North Ind Estate,-,-
Shangri0La,7780,8180
Shipyard,-,-
Siglap,2980,3460
Simei,19050,20400
Simpang North,-,-
Simpang South,-,-
Singapore General Hospital,-,-
Singapore Polytechnic,-,-
Somerset,60,80
Southern Group,-,-
Springleaf,2180,2190
Straits View,-,-
Sudong,-,-
Sungei Road,1020,1030
Sunset Way,2640,3010
Swiss Club,2470,2880
Tagore,3790,4160
Tai Seng,6670,7160
Taman Jurong,19920,20000
Tampines East,63960,67010
Tampines North,3950,4090
Tampines West,39150,40510
Tanglin,170,210
Tanglin Halt,4960,5630
Tanjong Irau,-,-
Tanjong Pagar,350,320
Tanjong Rhu,5230,5880
Teban Gardens,9250,9280
Teck Whye,12190,12140
Telok Blangah Drive,9170,10140
Telok Blangah Rise,5740,6420
Telok Blangah Way,4610,4620
Tengah Industrial Estate,-,-
Tengeh,-,-
The Wharves,-,-
Tiong Bahru,5990,6900
Tiong Bahru Station,7140,7980
Toa Payoh Central,12960,15070
Toa Payoh West,6570,7780
Toh Guan,7230,7360
Toh Tuck,-,-
Townsville,9930,11210
Trafalgar,24950,24240
Tuas Bay,-,-
Tuas North,-,-
Tuas Promenade,-,-
Tuas View,-,-
Tuas View Extension,-,-
Tukang,-,-
Turf Club,330,340
Tyersall,1810,2070
Ulu Pandan,5280,5740
Upper Paya Lebar,8160,8760
Upper Thomson,14160,15230
Victoria,840,920
Waterway East,25050,25530
Wenya,4170,4110
West Coast,3370,3500
Woodgrove,16870,16920
Woodlands East,49490,49500
Woodlands Regional Centre,-,-
Woodlands South,20540,20470
Woodlands West,17260,16650
Woodleigh,1200,1260
Xilin,890,880
Yew Tee,20100,20280
Yio Chu Kang,-,-
Yio Chu Kang East,2090,2120
Yio Chu Kang North,-,-
Yio Chu Kang West,11520,12630
Yishun Central,1290,1340
Yishun East,30030,30640
Yishun South,20670,21580
Yishun West,26720,27190
Yuhua East,12120,12650
Yuhua West,9530,9630
Yunnan,34250,33250
